Product ID,Current RMS Name,Website Visible,Website Display Name,Website Department,Website Category,Website Subcategory,Classification Source,Image Status,Description Status,Review Required
1464,1.5m Section - Milos M290 Quatro Truss (Black),Yes,1.5m Section - Milos M290 Quatro Truss (Black),Rigging,Truss,290 Black,Rule 20,Local image,Present,No
1420,1.5m Section - Milos M390 Quatro Truss,Yes,1.5m Section - Milos M390 Quatro Truss,Rigging,Truss,390 Silver,Rule 30,Local image,Present,No
730,1.5m Steel Wire Rope 2 Ton,Yes,1.5m Steel Wire Rope 2 Ton,Rigging,Rigging Hardware,Steels & Slings,Rule 90,Missing URL,Present,Yes
1215,1.5m x 25mm Ratchet Strap Continuous,Yes,1.5m x 25mm Ratchet Strap Continuous,Rigging,Rigging Hardware,Ratchet Straps,Rule 100,Local image,Missing,Yes
429,15w BC Clear Golf Ball Lamp,Yes,15w BC Clear Golf Ball Lamp,Consumables,Other Equipment,Browse All,Fallback,Local image,Missing,Yes
84,16a - 13a 2 Way Adaptor,Yes,16a - 13a 2 Way Adaptor,Cable,Other Equipment,Browse All,Fallback,Local image,Missing,Yes
980,16a - 2m Fairy Light Power Cable - Black,Yes,16a - 2m Fairy Light Power Cable - Black,Outdoor & Garden Lighting,Other Equipment,Browse All,Fallback,Local image,Present,Yes
307,16a - 2 x 13a Plug Board with 16a loop out,Yes,16a - 2 x 13a Plug Board with 16a loop out,Power Distribution Hardware,Other Equipment,Browse All,Fallback,Local image,Present,Yes
636,16a - 2 x 13a & Thru - IP65,Yes,16a - 2 x 13a & Thru - IP65,Power Distribution Hardware,Other Equipment,Browse All,Fallback,Local image,Missing,Yes
129,16a - 4 x 13a Plug Board with 16a loop out,Yes,16a - 4 x 13a Plug Board with 16a loop out,Power Distribution Hardware,Other Equipment,Browse All,Fallback,Local image,Missing,Yes
877,16a - 6x 13a + Thru Plug Board,Yes,16a - 6x 13a + Thru Plug Board,Power Distribution Hardware,Other Equipment,Browse All,Fallback,Local image,Missing,Yes
454,16a - 8 x 13a Plug Board with 16a loop out,No,16a - 8 x 13a Plug Board with 16a loop out,Power Distribution Hardware,Other Equipment,Browse All,Fallback,Not published,Missing,Yes
34,16A Cable - 10m,Yes,16A Cable - 10m,Cable,Other Equipment,Browse All,Fallback,Local image,Missing,Yes
31,16A Cable - 1m,Yes,16A Cable - 1m,Cable,Other Equipment,Browse All,Fallback,Local image,Missing,Yes
35,16A Cable - 20m,Yes,16A Cable - 20m,Cable,Other Equipment,Browse All,Fallback,Local image,Missing,Yes
712,16A Cable - 2m,Yes,16A Cable - 2m,Cable,Other Equipment,Browse All,Fallback,Local image,Missing,Yes
36,16A Cable - 30m,Yes,16A Cable - 30m,Cable,Other Equipment,Browse All,Fallback,Local image,Missing,Yes
32,16A Cable - 3m,Yes,16A Cable - 3m,Cable,Other Equipment,Browse All,Fallback,Local image,Missing,Yes
33,16A Cable - 5m,Yes,16A Cable - 5m,Cable,Other Equipment,Browse All,Fallback,Local image,Missing,Yes
1595,16a cable pack - Large,Yes,16a cable pack - Large,Cable,Other Equipment,Browse All,Fallback,Local image,Present,Yes
882,16a cable pack - Small,Yes,16a cable pack - Small,Cable,Other Equipment,Browse All,Fallback,Local image,Present,Yes
83,16a Ceeform - 13a Single Adaptor,Yes,16a Ceeform - 13a Single Adaptor,Cable,Other Equipment,Browse All,Fallback,Local image,Missing,Yes
269,16A CeeForm to 5 Way IEC Block,Yes,16A CeeForm to 5 Way IEC Block,Cable,Other Equipment,Browse All,Fallback,Missing URL,Missing,Yes
13,16a  - IEC adaptor,Yes,16a  - IEC adaptor,Cable,Other Equipment,Browse All,Fallback,Local image,Missing,Yes
655,16A - IP66 Connector,Yes,16A - IP66 Connector,Accessories,Other Equipment,Browse All,Fallback,Local image,Missing,Yes
